ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2022-73FR4M,"{กีดขวาง,สะพาน}","เขตภาษีเจริญ,สำนักการระบายน้ำ กทม.,ผอ.เขตภาษีเจริญ (นางเยาวะสกุล),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)","ปัญหาสะพานเหล็กที่กีดขวางทางสัญจรหลักของช้าวบ้าน เมื่อครั้งมีการก่อสร้างเขื่อนริมคลองภาษีเจริญ ทีมก่อสร้างได้นำสะพานสูงชันมาติดตั้ง ทำให้ชาวบ้านไม่สามารถสัญจรผ่านไปมาด้วยมอเตอร์ไซค์ หรือ จักรยาน ได้อีก ผู้สูงอายุก็ไม่สามารถเดินข้ามได้ เพราะสะพานสูง และ ชันเกินไป ครั้งนั้นชาวบ้านรวมตัวร้องทุกข์ กับทีมก่อสร้างตั้งแต่ก่อนจะติดตั้งสะพานแล้วว่าติดแบบนี้ชาวบ้านจะสัญจรกันได้ยังไง พร้อมแจ้งเหตุผลข้างต้นไปให้ทราบแล้ว เห็นจุดอื่นติดตั้งเป็นสะพานเตี้ยที่รถมอเตอร์ไซค์ หรือ จักรยานสามารถผ่านได้เราขอให้ติดแบบนั้นแทนได้หรือไม่ เพราะว่าช่องว่างระหว่างสะพานห่างกันแค่ไม่ถึง 1 เมตร  แต่ทีมก่อสร้างยื่นยันต้องทำตามสเปคที่ได้มาเท่านั้นต้องติดเป็นสะพานกระไดสูงเท่านั้น เปลี่ยนไม่ได้ 

จึงสร้างความเดือดร้อนให้คนในชุมชนเรียบริมคลองภาษีเจริญนับแต่นั้นเป็นต้นมา เนื่องจากบ้านในซอยนี้เป็นที่ดินตาบอดรถยนต์เข้าไม่ถึง ชาวบ้านอาศัยสัญจรเข้าออกทางเดินเรียบริมคลองเล็กๆนี้ โดยใช้มอเตอร์ไซค์ จักรยาน และเดินเท้ากันเป็นหลัก ทำให้เกิดปัญหาทันทีเพราะไม่สามารถเข้าออกทางนี้ได้สะดวก

เมื่อเรียกร้องไม่เป็นผลชาวบ้านจึงต้องแก้ปัญหากันเองโดยการรวบรวมเงินซื้อแผ่นปูน และ ปูนซีเมนมาเท ทำทางเบี่ยงเล็กๆ เพื่อให้สามารถสัญจรเข้าออกกันได้สะดวก โดยมีสะพานเหล็กสีแดงตั้งตระหงาดอยู่มารว่มเป็นเวลาเกือบ 10 ปีแล้วที่ไม่เคยมีใครใช้งาน มีตั้งไว้เพื่อกีดขวางการสัญจรของชาวบ้านให้เข้าออกได้ไม่สะดวกเท่านั้น ชาวบ้านอยากจะขนของชิ้นใหญ่ก็ผ่านไม่ได้ หรือ ขนอุปกรณ์ซ่อมแซม/ก่อสร้างบ้าน ก็ไม่สามารถทำได้ เพราะทางเข้าแคบเกินไปติดสะพานเหล็กที่ตั้งขวางอยู่นี้ เดือดร้อนกันมาเนิ่นนาน

ต่ำแหน่ง : ซอยเพชรเกษม 23 , ขึ้นสะพานข้ามคลองมา เลี้ยววกเข้ามาใต้สะพาน จะเจอทางเดินเล็ก ๆเรียบริมคลอง ติดกำแพงเฮอริเทจคอนโด",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/869d8426c730e1a69efc07a1eccbeef5a637d855.jpg,,"100.46410,13.72053",207/2 ซอย เพชรเกษม 21 แขวง ปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,2022-06-21 04:15:22.33968+00,เสร็จสิ้น,,0,2022-06-21 07:47:42.744845+00
9XNBU8,{ถนน},"เขตทวีวัฒนา,ฝ่ายเทศกิจ เขตทวีวัฒนา","ปัญหา: ภายในหมู่บ้านลัดดารมย์ ได้รับความเดือดร้อนจากกลิ่น ควัน จากการเผาไม่ทราบประเภท และไม่ทราบจุดที่เผาแน่ชัดแต่คาดว่ามาจากละแวกใกล้เคียงกับหมู่บ้าน
ถนน: ทวีวัฒนา-กาญจนาภิเษก
เขต: ทวีวัฒนา
#1555",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/ea8e3648f767fa1b38eff2ddc796c0d1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/87ea437112999ba0cfbaf6091b199596.png,"100.36980,13.76488",125 ถนน เลียบคลองบางพรม แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170 ประเทศไทย,ทวีวัฒนา,ทวีวัฒนา,จังหวัดกรุงเทพมหานคร,2024-12-24 15:57:44.471357+00,เสร็จสิ้น,,0,2024-12-25 13:30:01.223471+00
FLC3L6,"{ถนน,ต้นไม้}","เขตจตุจักร,ฝ่ายเทศกิจ เขตจตุจักร","ปัญหา: หน้าบ้านเลขที่ 4/53 พบมีการนำกระถางต้นไม้วางไว้หน้ารั้ว ปัจจุบันต้นไม้ได้เจริญเติบโตจนทำให้กิ่งไม้ยื่นล้ำออกมายังพื้นผิวจราจร ทำให้สัญจรไม่สะดวก
บ้านเลขที่: 4/53
ซอย: งามวงศ์วาน 59 แยก 3
ถนน: งามวงศ์วาน
จุดสังเกต: เข้าซอยแยกดังกล่าวมาประมาณ 150 เมตร อยู่ขวามือ
เขต: จตุจักร
#1555",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-07/59ac2e6e3681c5681641059b60600bdc.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-08/e14c23d8bc2b9a75ad4ef8cbbd5a816f.png,"100.56027,13.85155",4/53 ซอย งามวงศ์วาน 59 แยก 3 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,จังหวัดกรุงเทพมหานคร,2024-07-01 04:45:06.084865+00,เสร็จสิ้น,,0,2024-08-13 03:59:13.341564+00
ZRXC6C,"{ถนน,สะพาน,คลอง}","เขตหลักสี่,เขตจตุจักร,ฝ่ายรักษาความสะอาดฯ เขตหลักสี่","ปัญหา :  ให้พนักงานทำความสะอาดบนสะพานลอย
พิกัดจุดสังเกต : สะพานลอยข้ามถนนงามวงค์วาน 47 หน้าอาคารเช่าชัยพิทีกษ์ ตรงป้ายรถเมล์ บนสะพานลอยมีป้ายบอกทางขาขึ้นพงเพชร-แคราย ข้างๆเรือนจำกลางคลองเปรม
บ้านเลขที่ :
ถนน : 47 ถนน งามวงศ์วาน
ซอย : งามวงศ์วาน 47
เขต : หลักสี่
แขวง :ทุ่งสองห้อง
#1555",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1676794826096.jpeg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1676859174812.jpeg,"100.55546,13.84955",33 2 ถนน งามวงศ์วาน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,จังหวัดกรุงเทพมหานคร,2023-02-19 08:20:28.549254+00,เสร็จสิ้น,,0,2023-02-20 02:12:56.702491+00
2024-B99DQV,{จราจร},"เขตบางกะปิ,สน.หัวหมาก,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 4 (บก.น.4)",ไม่ควรมีรถจอดข้างตลาดแบบนี้ กว่าจะเข้าซอยกรุงเทพกรีฑา 7 ได้ ต้องรอเลนที่ 2 จากปากซอยที่มาเบียดเข้าแล้ว ยังต้องมาเจอมอเตอร์ไซค์ที่จอดซื้อของที่ตลาดอีก ทำให้รถที่เลี้ยวเข้าซอยมา ต้องคอยหลบมอเตอร์ไซค์ที่จอด ที่เลื่อนรถเข้าออก ส่งผลให้รถติดยาว,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/7295727261d3901cbc0ce6d7c1f83da096c9c121.jpg,,"100.65681,13.75059",2 ซอย กรุงเทพกรีฑา 7 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2024-10-30 12:20:32.960512+00,กำลังดำเนินการ,,0,2024-12-06 06:04:07.188637+00
2024-C4QMW3,"{ต้นไม้,กีดขวาง,ความปลอดภัย,ถนน,ความสะอาด}","เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ","1.ปัญหาถนนทรุดเป็นหลุม บริเวณปากซอยลาดพร้าว 87 แยก 23 และทางเข้าซอย จะเป็นหลุมลงไปทำให้เวลาเลี้ยวเข้าออกจากซอย รถจะกระแทกค่อนข้างแรง ทำให้เป็นอันตรายและกีดขวางทางเข้าออก เนื่องจากรถต้องชะลอตัว 
2.บริเวณปากซอย 23 ถึง 29 ถนนเป็นหลุมเป็นบ่อ มีน้ำขังเวลาฝนตก 
3.ภายในซอยลาดพร้าว 87 แยก 23 มีที่รกร้าง ต้นไม้ขึ้นสูงและมีขยะสะสม 
รบกวนขอให้มาดำเนินการแก้ไขด้วยค่ะ",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-08/3b379e66e5c1b577b84f68b0f02b854eae087f60.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-08/157c20f7e2ea846a17da4e7de1741810.png,"100.61930,13.79981",22/62 ซอย ลาดพร้าว 87 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2024-08-22 08:26:51.939852+00,เสร็จสิ้น,5.0,0,2024-08-23 06:14:28.762231+00
2024-DARLCC,{},"เขตบางแค,เขตบางบอน,ฝ่ายเทศกิจ เขตบางแค,ฝ่ายเทศกิจ เขตบางบอน,กรมทางหลวงชนบท กระทรวงคมนาคม","มีร้านค้าอยู่ในที่รกร้าง ไม่แน่ใจว่าเจ้าของร้านเป็นเจ้าของที่ หรือเข้ามาเอง 
สถานที่ https://maps.app.goo.gl/6VK9BGrhRzA6eJFr5
เพิ่มเติม การขายของในที่แบบนี้ ทำให้ผู้ที่จะเลี้ยวเข้าหมู่บ้าน J grand ลำบาก",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-05/3ee3ca8a328a97c8ab83265171ca9e9cb0e1b0ea.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-05/c87c780d91b25c816417c2b9dc917952.png,"100.43181,13.68852",31/1 ซอย เอกชัย 46 คลองบางพราน เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,คลองบางพราน,บางบอน,กรุงเทพมหานคร,2024-05-16 02:39:10.439953+00,เสร็จสิ้น,5.0,0,2024-05-17 05:25:03.369737+00
2024-E88U8P,{},"เขตพญาไท,สน.พญาไท,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 1 (บก.น.1)",ปัญหาเดิมๆ ยังไม่ได้รับการแก้ไขอย่างจริงจัง ท้าทายการปฏิบัติหน้าที่ของผู้รักษากฏหมายอย่างมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-09/78a841c511bf0aaaed44624978a501bb12e8044d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-09/fc444bf09cf7b20a8058138638e9205c.jpg,"100.53819,13.76907",149 ถ. พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,สามเสนใน,พญาไท,กรุงเทพมหานคร,2024-09-28 05:53:39.09932+00,เสร็จสิ้น,,0,2024-09-30 07:25:34.777428+00
2022-CRCHTX,{ถนน},"เขตราชเทวี,สำนักการโยธา กทม.,ฝ่ายเทศกิจ เขตพญาไท,ฝ่ายเทศกิจ เขตราชเทวี,ผอ.เขตราชเทวี (นายกรณิศ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร),ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 2 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.)","1.ทางเดินเท้าด้านหน้าอาคาร ไม่มีเสากั้นทำให้มี รถมอเตอร์ไซค์ สัญจรตลอด

2. ไอดิโอ คิว วิคตอรี่  9 ถนน พญาไท แขวงถนนพญาไท เขตราชเทวี 10400",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-08/0f7128322c8f591a798f55ad715ffa2b75bcf2b5.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/5eac795354da544b47140c6a92f418d5c7df4b0d.jpg,"100.53699,13.76176",19/1 ถ. พญาไท แขวง ถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,2022-08-03 07:51:38.584573+00,เสร็จสิ้น,,1,2022-12-21 07:41:20.098451+00
2023-9Q6LBT,{ความสะอาด},"เขตวัฒนา,ฝ่ายรักษาความสะอาดฯ เขตวัฒนา",อยากเสนอให้มีคอกทิ้งขยะในบริเวณนี้ ตอนนี้ทิ้งขยะกันแบบไม่มีระเบียบเลย,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-12/db779c528e4ace4598ce90537ec7a755147f4035.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-12/1703588842438.jpeg,"100.57016,13.73030",667 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2023-12-25 12:51:51.15676+00,เสร็จสิ้น,5.0,0,2023-12-26 11:07:23.47802+00
