ticket_id,std_type,district,subdistrict,province_clean,urgency,comment,comment_length,day_of_week,hour_of_day,day,month,year,lng,lat,SLA_days,breach,temp_high,temp_low,humidity_high,humidity_low,pressure_high,pressure_low,comment_clean,rule_risk_score_raw,rule_risk_reason,rule_risk_level
2024-9LQTGH,lighting,วัฒนา,คลองตันเหนือ,กรุงเทพมหานคร,high,กิ่งไม้พาดสายไฟ รบกวนเจ้าหน้าที่ตัดแต่งกิ่งไม้เพื่อลดความเสี่ยงต่อการเกิดอุบัติเหตุ,83,6,20,18,2,2024,100.59519,13.72978,73.68319893052893,0,37.0,22.0,94.0,30.0,1021.0,1007.0,กิ่งไม้พาดสายไฟ รบกวนเจ้าหน้าที่ตัดแต่งกิ่งไม้เพื่อลดความเสี่ยงต่อการเกิดอุบัติเหตุ,1.8,ระดับความเร่งด่วน = HIGH (ระบบกำหนด) → เสี่ยงต่อการ breach | หมวดปัญหา lighting เป็นหมวดเสี่ยงสูง (เช่น น้ำท่วม/ความปลอดภัย),low
2024-AN972Z,unknown,ปทุมวัน,วังใหม่,กรุงเทพมหานคร,low,"ต่อจากเรื่อง 2024-FE4KYG ที่ส่งต่อไปยังเขตบางกอกน้อย
ขอให้สำนักงานเขตปทุมวันช่วยเรางพิจารณาค่ารักษาพยาบาลของข้าราชการที่ไปใช้สิทธิใน รพ ศิริราชปิยมหาราชการุณย์ เพราะต้องนำไปเบิกต่อส่วนต่าง เนื่องจากส่วนงานที่จะใช้สิทธิต่อใกล้ปิดบัญชีแล้ว",237,1,7,27,2,2024,100.52355,13.73656,90.06795582402778,0,37.0,22.0,94.0,30.0,1021.0,1007.0,ต่อจากเรื่อง 2024-FE4KYG ที่ส่งต่อไปยังเขตบางกอกน้อย ขอให้สำนักงานเขตปทุมวันช่วยเรางพิจารณาค่ารักษาพยาบาลของข้าราชการที่ไปใช้สิทธิใน รพ ศิริราชปิยมหาราชการุณย์ เพราะต้องนำไปเบิกต่อส่วนต่าง เนื่องจากส่วนงานที่จะใช้สิทธิต่อใกล้ปิดบัญชีแล้ว,1.0999999999999999,"ระดับความเร่งด่วน = LOW → ความเสี่ยงโดยพื้นฐานไม่สูงมาก | หมวดปัญหา unknown อยู่ในกลุ่มความเสี่ยงต่ำกว่า | แจ้งช่วงเช้า (hour=7) ซึ่งเป็นช่วงงานล้นของหน่วยงาน → มีโอกาส delay เล็กน้อย | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น รัก, ุมว) | คำอธิบายยาว (length=237) → มีโอกาสเป็นเคสซับซ้อน",low
7UBJRX,noise,บางซื่อ,วงศ์สว่าง,กรุงเทพมหานคร,mid,"ปัญหา: ถนนดังกล่าว บริเวณหลังคอนโดมิเนียม The Line วงศ์สว่าง พบมีโครงการก่อสร้างถนนโดยตอกเสาเข็มส่งเสียงดัง เวลา 21.37 น. ยังตอกเสาเข็มอยู่ จึงต้องการให้งดการก่อสร้างในตอนกลางคืนเพื่อไม่ให้รบกวนการนอนหลับพักผ่อนของผู้ที่พักอาศัยในบริเวณใกล้เคียง
ถนน: วงศ์สว่าง
จุดสังเกต: ห่างจากสี่แยกวงศ์สว่างประมาณ 300 เมตร บริเวณเชิงสะพานข้ามแยก เยื้องกับบิ๊กซีวงศ์สว่าง
เขต: บางซื่อ
#1555",377,1,15,10,9,2024,100.52679,13.8268,28.791555815460676,0,35.0,24.0,100.0,47.0,1013.0,999.0,ปัญหา: ถนนดังกล่าว บริเวณหลังคอนโดมิเนียม The Line วงศ์สว่าง พบมีโครงการก่อสร้างถนนโดยตอกเสาเข็มส่งเสียงดัง เวลา 21.37 น. ยังตอกเสาเข็มอยู่ จึงต้องการให้งดการก่อสร้างในตอนกลางคืนเพื่อไม่ให้รบกวนการนอนหลับพักผ่อนของผู้ที่พักอาศัยในบริเวณใกล้เคียง ถนน: วงศ์สว่าง จุดสังเกต: ห่างจากสี่แยกวงศ์สว่างประมาณ 300 เมตร บริเวณเชิงสะพานข้ามแยก เยื้องกับบิ๊กซีวงศ์สว่าง เขต: บางซื่อ #1555,2.4,"ระดับความเร่งด่วน = MID → มีโอกาส breach ปานกลาง | หมวดปัญหา noise เป็นหมวดเสี่ยงกลางๆ → เสี่ยงปานกลาง | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น ถนน, แยก) | คำอธิบายยาวมาก (length=377) → มักเป็นเคสซับซ้อน/ร้องเรียนหลายประเด็น → เสี่ยง breach สูง | ความชื้นสูงมาก (humidity_high=100.0) → สภาพอากาศอาจทำให้การปฏิบัติงานล่าช้า",low
2024-7KX68E,road,สาทร,ยานนาวา,กรุงเทพมหานคร,high,วันที่ 13/03/67 เวลา 7.30 ยังพบมอเตอร์ไซค์ และ มอเตอรไซค์รับจ้าง ขับบนทางเท้าเป็นจำนวนมาก จัดการอะไรสักอย่างในช่วงเวลานี้ด้วยครับ,129,2,12,13,3,2024,100.53498,13.71208,12.46195016349537,0,39.0,25.0,94.0,20.0,1016.0,1005.0,วันที่ 13/03/67 เวลา 7.30 ยังพบมอเตอร์ไซค์ และ มอเตอรไซค์รับจ้าง ขับบนทางเท้าเป็นจำนวนมาก จัดการอะไรสักอย่างในช่วงเวลานี้ด้วยครับ,1.8,ระดับความเร่งด่วน = HIGH (ระบบกำหนด) → เสี่ยงต่อการ breach | หมวดปัญหา road เป็นหมวดเสี่ยงสูง (เช่น น้ำท่วม/ความปลอดภัย),low
2024-9PMK96,safety,บางรัก,สุริยวงศ์,กรุงเทพมหานคร,high,ใต้ต้นไม้ไม่มีเจ้าหน้าที่มาปลูกต้นไม้ให้เรียบร้อยสวยงามครับ,59,0,16,23,9,2024,100.52686,13.72816,14.08306067712731,1,35.0,24.0,100.0,47.0,1013.0,999.0,ใต้ต้นไม้ไม่มีเจ้าหน้าที่มาปลูกต้นไม้ให้เรียบร้อยสวยงามครับ,2.8,ระดับความเร่งด่วน = HIGH (ระบบกำหนด) → เสี่ยงต่อการ breach | หมวดปัญหา safety เป็นหมวดเสี่ยงสูง (เช่น น้ำท่วม/ความปลอดภัย) | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น ใต้) | ความชื้นสูงมาก (humidity_high=100.0) → สภาพอากาศอาจทำให้การปฏิบัติงานล่าช้า,medium
2024-GTPWG9,unknown,บางกอกน้อย,บางขุนศรี,กรุงเทพมหานคร,low,มาถมที่ ข้างบ้าน แล้วมีปัณหา คับ,32,3,3,18,1,2024,100.45711,13.76734,90.06795582402778,0,35.0,23.0,94.0,28.0,1020.0,1008.0,มาถมที่ ข้างบ้าน แล้วมีปัณหา คับ,0.4,ระดับความเร่งด่วน = LOW → ความเสี่ยงโดยพื้นฐานไม่สูงมาก | หมวดปัญหา unknown อยู่ในกลุ่มความเสี่ยงต่ำกว่า | แจ้งในช่วงกลางคืน/เช้ามืด (hour=3) → มีโอกาสจัดการได้ช้ากว่าช่วงกลางวัน,low
2024-M2WQE2,road,บางแค,หลักสอง,กรุงเทพมหานคร,high,"ซอยกาญจนาภิเษก 5/1 รถจอดข้างทางซื้อของ ทำให้รถติดในซอย
บางวันก็ขวางถนนเลย คนขับรีบวิ่งไปซื้อของ รถคันหลังก็รอไป 
เป็นทุกเช้า จันทร์ถึงศุกร์
ติดอยู่ 10-15 นาที กว่าจะออกจากซอยได้ ทั้งที่ซอยยาวไม่ถึง 400 เมตร
รบกวนมาจัดระเบียบให้หน่อยค่ะ",235,0,5,3,6,2024,100.39898,13.69572,12.46195016349537,0,36.0,25.0,94.0,44.0,1012.0,1001.0,ซอยกาญจนาภิเษก 5/1 รถจอดข้างทางซื้อของ ทำให้รถติดในซอย บางวันก็ขวางถนนเลย คนขับรีบวิ่งไปซื้อของ รถคันหลังก็รอไป เป็นทุกเช้า จันทร์ถึงศุกร์ ติดอยู่ 10-15 นาที กว่าจะออกจากซอยได้ ทั้งที่ซอยยาวไม่ถึง 400 เมตร รบกวนมาจัดระเบียบให้หน่อยค่ะ,3.4000000000000004,"ระดับความเร่งด่วน = HIGH (ระบบกำหนด) → เสี่ยงต่อการ breach | หมวดปัญหา road เป็นหมวดเสี่ยงสูง (เช่น น้ำท่วม/ความปลอดภัย) | แจ้งในช่วงกลางคืน/เช้ามืด (hour=5) + หมวด road → อาจกระทบความปลอดภัยมาก | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น ถนน, นทร) | คำอธิบายยาว (length=235) → มีโอกาสเป็นเคสซับซ้อน",high
2024-8YCDK7,noise,บางกะปิ,หัวหมาก,กรุงเทพมหานคร,mid,เขตบางกะปิ ไม่มีศักยภาพในการจัดการร้าน “ครัวทักษิณ” ตะวันนาได้เลยใช่ไหม เสียงเพลงดังมาก ขณะนี้เวลา 01.18 ยิ่งดึกยิ่งดัง ชาวบ้านไม่ต้องนอนแล้วมั้ง แจ้งไปหลายครั้งไม่เคยทำสำเร็จเลยซักที,183,2,18,11,9,2024,100.64078,13.7639,28.791555815460676,0,35.0,24.0,100.0,47.0,1013.0,999.0,เขตบางกะปิ ไม่มีศักยภาพในการจัดการร้าน “ครัวทักษิณ” ตะวันนาได้เลยใช่ไหม เสียงเพลงดังมาก ขณะนี้เวลา 01.18 ยิ่งดึกยิ่งดัง ชาวบ้านไม่ต้องนอนแล้วมั้ง แจ้งไปหลายครั้งไม่เคยทำสำเร็จเลยซักที,2.1,ระดับความเร่งด่วน = MID → มีโอกาส breach ปานกลาง | หมวดปัญหา noise เป็นหมวดเสี่ยงกลางๆ → เสี่ยงปานกลาง | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น ยงเ) | คำอธิบายยาว (length=183) → มีโอกาสเป็นเคสซับซ้อน | ความชื้นสูงมาก (humidity_high=100.0) → สภาพอากาศอาจทำให้การปฏิบัติงานล่าช้า,low
2024-KFDXTF,safety,ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,high,"ลูกสาวช่วยส่งให้เขตดอนเมืองทีค่ะ เขียนแบบน่าสงสารค่ะ เพื่อได้รับความสนใจ เน้นว่าเราต้องอดทนไม่อยากทะเลาะ

เน้นเรื่องเอาถนนสาธารณะเป็นที่จอดรถส่วนตัวเป็นประจำ

เน้นว่าหนูสงสัยว่าการกระทำนี้ถูกต้อง สมควรเอาเป็นเยี่ยงอย่างได้ใช่ไหมหนูอยากแชร์ข้อมูลให้ทุกคนได้ทำตามไม่ต้องสร้างบ้านมีที่จอดรถเอาถนนสาธารณะมาทำที่จอดรถกันดีกว่า เราจะได้ไม่ต้องขับรถกันอีกเพราะไม่มีถนนให้ขับจะได้ข่วยรถฝุ่นพีเอ็ม สำนักเขตดอนเมืองเห็นด้วยกับหนูไหมคะ",424,4,10,1,3,2024,100.57603,13.91972,14.08306067712731,0,39.0,25.0,94.0,20.0,1016.0,1005.0,ลูกสาวช่วยส่งให้เขตดอนเมืองทีค่ะ เขียนแบบน่าสงสารค่ะ เพื่อได้รับความสนใจ เน้นว่าเราต้องอดทนไม่อยากทะเลาะ เน้นเรื่องเอาถนนสาธารณะเป็นที่จอดรถส่วนตัวเป็นประจำ เน้นว่าหนูสงสัยว่าการกระทำนี้ถูกต้อง สมควรเอาเป็นเยี่ยงอย่างได้ใช่ไหมหนูอยากแชร์ข้อมูลให้ทุกคนได้ทำตามไม่ต้องสร้างบ้านมีที่จอดรถเอาถนนสาธารณะมาทำที่จอดรถกันดีกว่า เราจะได้ไม่ต้องขับรถกันอีกเพราะไม่มีถนนให้ขับจะได้ข่วยรถฝุ่นพีเอ็ม สำนักเขตดอนเมืองเห็นด้วยกับหนูไหมคะ,3.0,"ระดับความเร่งด่วน = HIGH (ระบบกำหนด) → เสี่ยงต่อการ breach | หมวดปัญหา safety เป็นหมวดเสี่ยงสูง (เช่น น้ำท่วม/ความปลอดภัย) | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น ถนน, กระ) | คำอธิบายยาวมาก (length=424) → มักเป็นเคสซับซ้อน/ร้องเรียนหลายประเด็น → เสี่ยง breach สูง",medium
2024-89TY8T,road,บางแค,บางไผ่,กรุงเทพมหานคร,high,ร้านสเต็กลุงหนวด ตั้งโต๊ะขายของบนทางเท้าในวันจันทร์ ไม่ทำตามกฎของกรุงเทพ,72,0,22,21,10,2024,100.36401,13.74608,12.46195016349537,0,35.0,23.0,100.0,49.0,1014.0,1002.0,ร้านสเต็กลุงหนวด ตั้งโต๊ะขายของบนทางเท้าในวันจันทร์ ไม่ทำตามกฎของกรุงเทพ,3.5,"ระดับความเร่งด่วน = HIGH (ระบบกำหนด) → เสี่ยงต่อการ breach | หมวดปัญหา road เป็นหมวดเสี่ยงสูง (เช่น น้ำท่วม/ความปลอดภัย) | แจ้งในช่วงกลางคืน/เช้ามืด (hour=22) + หมวด road → อาจกระทบความปลอดภัยมาก | พบ pattern ตัวอักษรที่ model เรียนรู้ว่าเกี่ยวข้องกับ breach (เช่น  ตั, นทร) | ความชื้นสูงมาก (humidity_high=100.0) → สภาพอากาศอาจทำให้การปฏิบัติงานล่าช้า",high
