ticket_id,std_type,type,type_list,organization,comment,comment_length,photo,photo_after,lng,lat,subdistrict,district,province,province_clean,timestamp,last_activity,state,star,count_reopen,year
LR93UH,flood,"{ห้องน้ำ,ถนน,ทางเท้า}","['ห้องน้ำ', 'ถนน', 'ทางเท้า']","ส่วนสวนสาธารณะ 1 สสณ. สสล.,เขตบางกอกน้อย,สำนักสิ่งแวดล้อม กทม.,สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม","ปัญหา: สวนสิรินธราพฤษาพรรณ 
1. พบไฟฟ้าส่องสว่างดับชำรุด ด้านกำแพงรั้วเสาปักระหว่างทางเดินออกกำลัง เป็นเสาต้นกลมๆ สูงประมาณ 1 เมตรกว่า ประมาณ 10 กว่าดวง พบเห็นนานแล้ว
2. พบห้องน้ำผู้ชาย ชักโครกกดแล้วน้ำพุ่งขึ้น พบเห็นนานมากแล้ว ต้องการให้มาซ่อมแซมด้วย
ซอย: จรัญสนิทวงศ์ 25 แยก 5
ถนน: จรัญสนิทวงศ์
เขต: บางกอกน้อย
#1555",318,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/ea19d92fa75b6260767096676d59e929.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/88cf8dd097b610b99c68574a7f715a5a.png,100.46662,13.74655,บางขุนศรี,บางกอกน้อย,จังหวัดกรุงเทพมหานคร,กรุงเทพมหานคร,2024-04-02 11:10:10.720093+00:00,2024-04-06 05:44:35.979564+00:00,เสร็จสิ้น,,0,2024
2024-AU98ZU,flood,"{ท่อระบายน้ำ,ความปลอดภัย}","['ท่อระบายน้ำ', 'ความปลอดภัย']","เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ",ฝาท่อ ชำรุด  ไม่อยู่ในสภาพ ใช้งาน มี สนิม  และ เป็นช่อง อาจจะ เป็นอันตราย กับ คนเดินได้ ครับ,92,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/51a7ee73dfac08f95b1c20160f9ff1d28d4bc1ed.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/1707197643168.jpeg,100.63982,13.76136,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-02-02 13:24:14.096187+00:00,2024-02-06 05:34:04.577868+00:00,เสร็จสิ้น,,0,2024
2024-KF8YZA,unknown,{},['unknown'],"เขตปทุมวัน,ฝ่ายเทศกิจ เขตปทุมวัน",ไม่มีแผงลอย เทศกิจกวดขันตลอด ที่เห็นแค่ภาพลวงตา,47,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/04019044dd0bafff66284fa8f6cf4090981d997c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-06/d966e5157b33290117ed988802c82705.png,100.53339,13.74556,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-02-26 14:43:46.820122+00:00,2024-06-10 06:13:35.429182+00:00,เสร็จสิ้น,1.0,6,2024
2024-GML26A,safety,"{PM2.5,เสียงรบกวน}","['PM2.5', 'เสียงรบกวน']","เขตมีนบุรี,ฝ่ายสิ่งแวดล้อมฯ เขตมีนบุรี",พบแคมป์ก่อสร้าง ทำงานช่วงเวลากลางคืน 22.00น-05.00น. ส่งเสียงดังในเวลายามวิกาล ทำให้เดือนร้อน ทางด้านเสียงและฝุ่น รบกวนตรวจสอบ โดยด่วน ทำมาเกือบเดือนแล้วเดือนร้อนมากๆ,165,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/9066f70fb783da4b0e0ba80ea500ee1f009bb776.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/1706679856615.jpeg,100.73807,13.81486,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-01-26 15:20:26.679893+00:00,2024-01-31 05:44:17.851615+00:00,เสร็จสิ้น,5.0,0,2024
2024-42MXLL,lighting,{แสงสว่าง},['แสงสว่าง'],"เขตบางขุนเทียน,การไฟฟ้านครหลวง เขตราษฎร์บูรณะ,การไฟฟ้านครหลวง MEA",เสาไฟฟ้าแรงสูง มีสิ่งปลูกสร้าง อยู่ใกล้,39,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/b39c8c055b6c5892180737a08df188b6186ea73f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-01/da140e2e43513ebd77f93c5312082600.docx,100.46105,13.6248,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-12-23 10:25:52.235414+00:00,2025-01-02 08:07:52.877748+00:00,เสร็จสิ้น,2.0,0,2024
2024-9XMTBV,road,{กีดขวาง},['กีดขวาง'],"เขตบางคอแหลม,ฝ่ายเทศกิจ เขตบางคอแหลม",จอดใว้หลายเดือนแล้ว ไม่เห็นมีใครมาเอาไป จะจอดรถก็จอดไม่ได้แล้วเวลาเลี้ยวรถเข้าออกจากซอยก็เกะกะ ทำวงเลี้ยวแคบ,108,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/88108ba07c15c803f9406abb6cf7547a12f38d43.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/d9764b4174da03b655f9b653b444af9f.png,100.49725,13.69362,บางคอแหลม,บางคอแหลม,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-04-03 08:16:28.981465+00:00,2024-04-05 03:16:18.726155+00:00,เสร็จสิ้น,5.0,0,2024
2024-94WTU6,road,{ทางเท้า},['ทางเท้า'],เขตลาดกระบัง,ฟุตบาตแย่มากเลยค่ะ,18,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-06/1b18dd0273e598679c56ea3644abe0ac86a46084.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-07/a0d00f728222409daecec870973be0fe.png,100.72538,13.76468,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-06-30 15:00:02.769328+00:00,2024-07-01 13:25:50.816245+00:00,เสร็จสิ้น,,0,2024
2024-4ARGEE,noise,"{เสียงรบกวน,ถนน,ความปลอดภัย,ร้องเรียน}","['เสียงรบกวน', 'ถนน', 'ความปลอดภัย', 'ร้องเรียน']","ส่วนสวนสาธารณะ 1 สสณ. สสล.,เขตคลองเตย,สำนักสิ่งแวดล้อม กทม.,สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม","ขอร้องเรียนคนขับรถกระบะสีขาวเก็บขยะ ที่สวนเบญจกิติ แสดงพฤติกรรมก้าวร้าวใส่คนวิ่งออกกำลังกาย
เช้า 1 มิย เวลาประมาณ 8 โมง 10 นาที ดิฉัน สามี และผู้ชายอีก 1 คนกำลังวิ่งออกกำลังกายไปยังประตูทางออก (ด้านอาคารที่ติดกับที่จอดรถใกล้ศูนย์สิริกิตติ์) ระหว่างนั้นเจอรถกระบะเก็บขยะขับสวนทางมาเหยียบน้ำฝนที่ขังตามถนนด้วยความเร็วปกติ ฉันจึงโบกมือส่งสัญญานให้ขับช้าลง เพราะมีน้ำขังตามทาง น้ำจะกระเด็นใส่พวกเราที่กำลังวิ่ง แต่คนขับก็คงความเร็วเท่าเดิม จนผู้ชายคนหนึ่งตะโกนเสียงดังว่าให้ขับช้าๆ คนขับมีท่าทางไม่พอใจ แต่พวกเราก็วิ่งผ่านรถไปจนถึงที่จอดรถ ไม่นึกว่ารถกระบะคันดังกล่าวจะกลับรถและขับตามพวกเรามา พยายามจะหาเรื่องถึงที่จอดรถของพวกเรา และมีการตะโกนใส่อารมณ์ด้วยความไม่พอใจที่ชายคนนั้นส่งเสียงดังให้ขับรถช้าๆ
ฉันจึงบอกว่า คุณขับรถไม่สนใจคนวิ่งออกกำลังกายและยังแสดงพฤติกรรมก้าวร้าวอีก ฉันจะร้องเรียนคุณชัชชาติ เพราะเจอท่านที่สวนนี้หลายหน แต่ท่าทางเขาไม่ยี่หระ ฉันคิดว่า เขาเป็นบุคคลท่าทางอันธพาล พวกเขารวมพนักงานทั้งคันมีกันหลายคน จึงพยายามใจเย็นๆ ดิฉันคิดว่า ควรแจ้งให้บริษัทพนาทัศน์เรียกคนขับรถมาอบรมมารยาทในการทำงาน และพยายามคัดกรองพนักงานที่มีใจรักบริการด้วยความสุภาพ ไม่ก้าวร้าว เพื่อความปลอดภัยของประชาชนที่มาออกกำลังกาย
พนักงานกวาดใบไม้ส่วนมากมีมารยาท ยิ้มแย้มดีนะคะ เพิ่งเจอคนขับรถคันนี้ โมโหร้าย น่ากลัวค่ะ
ขอบคุณมากค่ะ",1217,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-06/8ae127cc210b88bfa9a0667b2c99072c52d7e2a0.jpg,,100.55867,13.73179,คลองเตย,คลองเตย,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-06-05 03:02:16.836998+00:00,2024-06-05 10:37:26.794974+00:00,กำลังดำเนินการ,,0,2024
2025-MG8CBM,road,{ถนน},['ถนน'],"เขตวัฒนา,สน.ลุมพินี,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 5 (บก.น.5)",แท็กซี่จอดขวางการจราจรและป้ายรถเมล์ ทำให้ต้องจอดส่งผู้โดยสารกลางถนน สุขุมวิท13-15,81,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-01/f77d233b90f504f9aece1e732d4589eaa8d9295b.jpg,,100.55784,13.739,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,กรุงเทพมหานคร,2025-01-09 05:29:10.040164+00:00,2025-01-09 06:47:50.978436+00:00,กำลังดำเนินการ,,0,2025
2024-PCXMAL,road,"{จราจร,กีดขวาง,ถนน}","['จราจร', 'กีดขวาง', 'ถนน']","เขตราชเทวี,สน.พญาไท,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 1 (บก.น.1)",แท็กซี่ สามล้อ ๆลๆ จอด ตรง ถนนเพชรบุรี อยู่เลย ซอยเพชรบุรี 15 เยื้อง ห้าง พันธุ์ทิพย์ ประตูน้ำ จอดกีดขวาง จราจร ป้ายรถเมล์,122,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/42fe40f75652808dd2964ef33ae5d69d88a3e2b6.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/1704694665423.jpeg,100.53721,13.75159,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-01-07 04:20:05.877477+00:00,2024-01-08 06:17:47.017381+00:00,เสร็จสิ้น,,0,2024
